game_key,Project Name,Env Created,Engagement Type,Engagement Area Position X,Engagement Area Position Y,Engagement Area Size X,Engagement Area Size Y,Perceived Engagement Area Position X,Perceived Engagement Area Position Y,Perceived Engagement Area Size X,Perceived Engagement Area Size Y,Triggerzone Position X,Triggerzone Position Y,Triggerzone Size X,Triggerzone Size Y,Clickthrough,Clickthrough Area Position X,Clickthrough Area Position Y,Clickthrough Area Size X,Clickthrough Area Size Y,Perceived Clickthrough Area Position X,Perceived Clickthrough Area Position Y,Perceived Clickthrough Area Size X,Perceived Clickthrough Area Size Y,Adunit Size X,Adunit Size Y,Count,engagement,click_through
07241b86886714c9a87b343af765ab5e,adunit-el-pcl-mob,staging,drag,0.0,418.0,381.0,278.0,,,,,,,,,,,,,,,,,,600.0,900.0,,,
20b7868e670b87a842f3b4b95792bec7/beae1236b55a19528ca3,tbs-bodyyogurt-discover-copy,testing,"drag,collide,click",0.0,0.0,600.0,900.0,,,,,0.0,977.0,600.0,900.0,True,0.0,0.0,488.0,98.0,56.0,755.0,488.0,98.0,600.0,900.0,,,
275d7e6ab67768a3302ccab8ecb39892/908d9a73c34710ed072a,test,staging,"drag,click,collide",52.0,98.0,152.0,113.0,,,,,329.0,69.0,169.0,131.0,True,183.0,201.0,230.0,54.0,183.0,201.0,230.0,54.0,591.0,296.0,,,
4356a9cfa6dedd2c2e1e1d5a58d12c74,pcl test,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
4bcc5f2bff3560b7a0db67c9e623f4eb/a50968f86f788938cfcd,Burger King - Cheesy BBQ XL,testing,"click,collide,slide",0.0,0.0,600.0,900.0,,,,,0.0,990.0,600.0,900.0,True,0.0,0.0,600.0,110.0,0.0,790.0,600.0,110.0,600.0,900.0,,,
4e28a798266a17e4da852c5e5453a7fb,Burger King - Cheesy BBQ XL-copy,development,"click,collide,slide",0.0,0.0,600.0,900.0,,,,,0.0,990.0,600.0,900.0,True,0.0,0.0,600.0,110.0,0.0,790.0,600.0,110.0,600.0,900.0,,,
4f4e3b53d2d1eab246ff5e1246d53e03,adunit-epson-mts-mob-fr-imported,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
50e6e5d3461284bacce1168df40e370d/f12d71f14662aa355e7d,asdadadsasdasd,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526417a21d8cc543020d4c8cbf590a2/1750b906c8b266840a38,EL-PCL-120517,staging,"drag,dropInside",224.0,768.0,140.0,132.0,,,,,0.0,0.0,600.0,900.0,,,,,,,,,,600.0,900.0,,,
67711b8efe0a5d08f7ac02b210aea972/674a240aa8a1a8e10508,Hood-2,production,tap,0.0,0.0,1710.0,1067.0,-555.0,-130.0,1710.0,1067.0,,,,,,,,,,,,,,600.0,900.0,,,
6b466fec28c4044abf635074e06329e0/33c2768306db6cad3c18,tbs-bodyyogurt-discover-copy,testing,"drag,collide,click",0.0,0.0,600.0,900.0,,,,,0.0,977.0,600.0,900.0,True,0.0,0.0,488.0,98.0,56.0,755.0,488.0,98.0,600.0,900.0,,,
6ba9892c9104f004a38981fb29b938cc/7c8edd3e96eba6d8593d,Santore 1,staging,"drag,dropInside,click",96.0,611.0,400.0,226.0,,,,,0.0,96.0,600.0,434.0,True,165.0,814.0,269.0,45.0,,,,,600.0,900.0,,,
719fbde52072b6dbac0d87879a8b0c16/872704edd60c63cb585f,standard-chartered-gss,testing,"click,collide,slide",0.0,0.0,600.0,900.0,,,,,0.0,976.0,600.0,900.0,True,0.0,0.0,458.0,95.0,74.0,760.0,458.0,95.0,600.0,900.0,,,
9104673503fb949b6b01bb09a52a2f2c/94cc403dbf001a919840,Coors Light simple - MOB-imported,development,"click,collide,slide,parallax-main-bg,parallax-layer4,parallax-layer3,parallax-layer2,parallax-layer1",9.0,330.0,730.0,570.0,,,,,-670.0,0.0,600.0,900.0,True,0.0,0.0,395.0,80.0,102.0,777.0,395.0,80.0,600.0,900.0,,,
